attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Brittleness,lamb_chop,Physics,"Brittleness: How easy is it for a lamb_chop to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,lamb_chop,Physics,"Softness: What is the softness (fluffyness, squishiness) of a lamb_chop?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,0.75
Sharpness,lamb_chop,Physics,Sharpness: What is sharpness of a lamb_chop?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Elasticity,lamp,Physics,"Elasticity: If you were to deform a lamp (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,lamp,Physics,"Softness: What is the softness (fluffyness, squishiness) of a lamp?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,lamp,Physics,Sharpness: What is sharpness of a lamp?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,lamp,Physics,Malleability: Can a lamp be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Sharpness,lampshade,Physics,Sharpness: What is sharpness of a lampshade?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,lampshade,Physics,Stiffness: What is the amount of continued weight that a lampshade can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Malleability,lampshade,Physics,Malleability: Can a lampshade be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,lantern,Physics,"Elasticity: If you were to deform a lantern (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,lantern,Physics,"Softness: What is the softness (fluffyness, squishiness) of a lantern?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,lantern,Physics,Malleability: Can a lantern be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,laptop,Physics,"Elasticity: If you were to deform a laptop (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,laptop,Physics,"Softness: What is the softness (fluffyness, squishiness) of a laptop?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,laptop,Physics,Sharpness: What is sharpness of a laptop?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,laptop,Physics,Malleability: Can a laptop be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,lasagna,Physics,"Elasticity: If you were to deform a lasagna (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,lasagna,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a lasagna?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Softness,lasagna,Physics,"Softness: What is the softness (fluffyness, squishiness) of a lasagna?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,0.75
Sharpness,lasagna,Physics,Sharpness: What is sharpness of a lasagna?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,lasagna,Physics,Stiffness: What is the amount of continued weight that a lasagna can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,1.0
Elasticity,latch,Physics,"Elasticity: If you were to deform a latch (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,latch,Physics,"Brittleness: How easy is it for a latch to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,latch,Physics,"Softness: What is the softness (fluffyness, squishiness) of a latch?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Stiffness,latch,Physics,Stiffness: What is the amount of continued weight that a latch can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,latch,Physics,Malleability: Can a latch be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,lawn_mower,Physics,"Elasticity: If you were to deform a lawn_mower (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,lawn_mower,Physics,"Softness: What is the softness (fluffyness, squishiness) of a lawn_mower?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Stiffness,lawn_mower,Physics,Stiffness: What is the amount of continued weight that a lawn_mower can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Malleability,lawn_mower,Physics,Malleability: Can a lawn_mower be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,laxative,Physics,"Elasticity: If you were to deform a laxative (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
